match_id,home_team_name,away_team_name,match_result,rank_diff,elo_diff,value_diff_m,caps_diff,age_diff,rest_diff,host_diff,prev_goal_diff,prev_conceded_diff,prev_xg_diff,prev_possession_diff,prev_shots_diff
53,Scotland,Brazil,A,-33,-310.0,-768.136999,57,0.16058547886062158,0.0,0,-1.5,0.0,-0.5799999999999998,-8.5,-4.0
54,Morocco,Haiti,H,76,390.0,395.424316,80,0.9091770652345623,0.0,0,1.0,1.5,-0.2549999999999999,9.5,3.0
55,Türkiye,USA,H,-9,-70.0,82.35933,12,-0.7672300321170944,0.0,-1,-3.0,-1.0,-1.425,7.5,2.0
56,Paraguay,Australia,D,-27,-65.0,55.644833,-46,-1.643131680092658,0.0,0,0.0,-1.0,-0.31000000000000005,-5.0,-1.5
57,Ecuador,Germany,H,-13,-100.0,-729.954341,-75,1.9691465276680908,0.0,0,-4.5,0.5,-1.9,-5.0,-2.0
58,Curaçao,Côte d'Ivoire,A,-44,-230.0,-454.698255,-87,-2.1719580898225708,0.0,0,-0.5,-2.5,-0.65,-4.0,-2.5
59,Tunisia,Netherlands,A,-37,-270.0,-686.303032,-281,1.1297846575053967,0.0,0,-3.0,-3.0,-2.1350000000000002,-10.0,-4.5
60,Japan,Sweden,D,7,65.0,-137.672445,292,0.061917548570527,0.0,0,0.0,2.0,0.4700000000000002,4.5,-2.5
65,Norway,France,A,-41,-325.0,-1081.054647,1,0.19680935081347073,0.0,0,0.5,-1.0,0.07499999999999973,2.0,-1.0
66,Senegal,Iraq,H,40,210.0,332.476536,187,-0.17248459958932472,0.0,0,1.0,0.5,0.6999999999999998,7.0,2.5
61,New Zealand,Belgium,A,-76,-440.0,-596.160275,-253,-0.6525562049175981,0.0,0,1.0,-2.0,-0.6399999999999999,-16.0,0.0
62,Egypt,IR Iran,D,-16,-90.0,52.155979,-344,1.273627125783193,0.0,0,1.0,0.0,0.385,10.0,2.0
63,Uruguay,Spain,A,-14,-160.0,-1813.826699,185,-1.9948402042857936,0.0,0,-0.5,-1.5,-1.0099999999999998,-6.5,0.5
64,Cabo Verde,Saudi Arabia,D,-9,-20.0,-34.21476,-102,-1.1603222239772535,0.0,0,0.5,1.5,0.17500000000000004,0.5,0.5
67,Jordan,Argentina,A,-62,-540.0,-920.727478,-188,0.6526615068709489,0.0,0,-1.5,-2.5,-1.335,-20.5,-3.0
68,Algeria,Austria,D,-4,-70.0,-14.777383,-227,1.7541199389248696,0.0,0,-0.5,-0.5,-0.09499999999999997,11.5,1.0
69,Colombia,Portugal,D,-8,-20.0,-684.965406,-117,-2.054019902069186,0.0,0,-1.0,0.0,-0.8,-8.0,-0.5
70,Congo DR,Uzbekistan,H,-11,20.0,67.912838,-166,-0.8554730690254289,0.0,0,0.0,3.0,0.18000000000000005,-2.0,0.5
71,Panama,England,A,-30,-370.0,-1147.69095,703,-3.153372295056073,0.0,0,-2.0,0.0,-1.435,-4.0,-4.5
72,Croatia,Ghana,H,38,250.0,188.462263,591,-1.3535513083767725,0.0,0,1.0,-2.0,0.4650000000000001,11.5,2.5
73,South Africa,Canada,A,-27,-175.0,-156.533523,-435,0.16427104722792762,0.0,0,-2.0,0.0,-1.1966666666666668,-9.0,-4.0
74,Brazil,Japan,H,12,150.0,622.382413,109,-1.8678460485441981,1.0,0,0.0,0.6666666666666667,-0.3666666666666669,9.0,1.666666666666667
75,Germany,Paraguay,D,44,245.0,853.057903,155,0.9558258305691538,-1.0,0,2.6666666666666665,0.0,2.1633333333333336,29.000000000000007,7.333333333333333
76,Netherlands,Morocco,D,-1,60.0,308.463392,154,-1.1754857052598382,-1.0,0,1.333333333333333,-0.33333333333333326,1.1866666666666665,1.6666666666666643,1.666666666666667
77,Côte d'Ivoire,Norway,A,6,-25.0,29.61652,-95,0.955194018849042,0.0,0,-1.3333333333333333,1.6666666666666665,-0.8666666666666665,-5.0,-0.6666666666666661
78,France,Sweden,H,22,285.0,1137.682024,285,0.5560996156478666,0.0,0,1.0,1.6666666666666665,0.2200000000000002,5.666666666666657,1.0
79,Mexico,Ecuador,H,9,-60.0,153.119221,452,-1.8230927183699386,2.0,1,1.3333333333333335,0.6666666666666666,0.19333333333333336,0.0,-2.666666666666667
80,England,Congo DR,H,57,380.0,1168.781058,47,1.795503606591904,0.0,0,0.6666666666666667,0.33333333333333337,0.44999999999999996,14.333333333333343,4.0
81,Belgium,Senegal,H,6,110.0,177.720854,69,-0.5272468804296295,-1.0,0,-0.6666666666666665,1.3333333333333335,0.24666666666666637,6.6666666666666785,1.666666666666667
82,USA,Bosnia and Herzegovina,H,47,205.0,232.412045,364,-0.44848101932291584,-1.0,1,0.9999999999999998,0.6666666666666667,0.6933333333333331,16.333333333333336,0.6666666666666665
83,Spain,Austria,H,22,290.0,1890.254786,-262,1.864055178223552,0.0,0,-0.33333333333333326,2.0,0.9366666666666665,16.66666666666667,4.666666666666666
84,Portugal,Croatia,H,6,70.0,758.608765,0,0.29347654398989675,0.0,0,0.33333333333333326,1.3333333333333335,0.8366666666666667,7.6666666666666785,-0.6666666666666665
85,Switzerland,Algeria,H,9,100.0,128.043658,355,-1.4496919917864481,3.0,0,0.6666666666666663,1.333333333333333,0.2466666666666668,-0.6666666666666785,2.0
86,Australia,Egypt,D,9,60.0,-117.552906,-96,1.6994682251355613,2.0,0,-1.0,0.33333333333333337,-0.6133333333333334,-9.0,-1.0000000000000004
87,Argentina,Cabo Verde,H,66,510.0,929.712993,426,0.558205654714893,0.0,0,2.0,0.3333333333333333,1.563333333333333,21.33333333333332,2.3333333333333335
88,Colombia,Ghana,H,36,300.0,262.105622,474,-3.1140946664560616,0.0,0,0.6666666666666666,0.3333333333333333,0.8033333333333332,15.333333333333336,3.0
89,Paraguay,France,A,-51,-375.0,-1410.520743,-111,-2.001579529300262,1.0,0,-2.5,-0.75,-1.6574999999999998,-26.0,-6.5
90,Canada,Morocco,A,-26,-125.0,-252.520631,250,-0.37371663244353215,1.0,0,0.5,0.25,0.6125,-8.0,2.0
91,Brazil,Norway,A,38,255.0,428.082591,115,-2.5588374664350084,1.0,0,-0.25,1.5,-0.3674999999999997,11.0,2.0
92,Mexico,England,A,-10,-240.0,-909.912387,384,-0.6274943400200215,0.0,1,0.0,0.75,-0.42999999999999994,-10.25,-2.75
93,Portugal,Spain,A,-3,-110.0,-988.264264,418,-1.2878428894855958,0.0,0,0.0,-0.5,-0.3474999999999997,-6.5,-4.5
94,USA,Belgium,A,-8,-100.0,-255.253926,-124,0.7095245616806167,0.0,1,0.25,0.0,-0.41999999999999993,-4.75,-3.25
95,Argentina,Egypt,H,35,420.0,827.447645,420,-0.05928499973675372,0.0,0,1.25,0.25,0.81,10.5,1.75
96,Switzerland,Colombia,D,-6,-130.0,-103.758841,89,1.7822355604696511,1.0,0,1.0,-0.5,-0.07750000000000012,-3.75,0.25
97,France,Morocco,H,4,180.0,1089.450315,93,-0.4020428578950188,0.0,0,0.7999999999999998,0.4,0.798,1.7999999999999972,2.8
98,Spain,Belgium,H,7,170.0,1500.107058,-343,0.8670562838940654,1.0,0,-0.8,1.0,0.2280000000000002,8.200000000000003,0.5999999999999996
99,Norway,England,A,-40,-275.0,-856.669074,-36,0.469014900226405,1.0,0,0.19999999999999973,-0.8,0.018000000000000016,0.6000000000000014,-1.6000000000000005
100,Argentina,Switzerland,H,18,290.0,667.854926,119,-0.8111409466645618,0.0,0,0.9999999999999998,-0.4,0.494,7.199999999999996,1.0
101,France,Spain,A,-1,-20.0,-587.96856,58,-0.25356710366977353,1.0,0,0.8333333333333333,-0.1666666666666667,0.048333333333332895,-7.166666666666671,0.16666666666666607
102,England,Argentina,A,-3,-100.0,296.779452,-414,1.8449955246669845,1.0,0,-0.6666666666666665,0.0,-0.466666666666667,-5.5,0.3333333333333339
103,France,England,A,1,50.0,224.385573,-37,0.2722055494129343,1.0,0,0.2857142857142856,0.5714285714285714,0.485714285714286,4.142857142857153,1.1428571428571432
104,Spain,Argentina,H,-1,-30.0,1109.133585,-509,2.3707681777496923,1.0,0,-0.8571428571428577,0.8571428571428572,0.05428571428571294,3.857142857142861,0.7142857142857135
